timestamp,event_type,notes
2025-11-10 10:00:00,Macro Release A,Scheduled; direction/impact unknown.
2025-11-10 14:00:00,Macro Release B,Scheduled; direction/impact unknown.
2025-11-10 15:00:00,Central Bank Speaker,Scheduled; direction/impact unknown.
2025-11-11 10:00:00,Macro Release A,Scheduled; direction/impact unknown.
2025-11-11 14:00:00,Macro Release B,Scheduled; direction/impact unknown.
2025-11-11 15:00:00,Central Bank Speaker,Scheduled; direction/impact unknown.
2025-11-12 10:00:00,Macro Release A,Scheduled; direction/impact unknown.
2025-11-12 11:15:00,Breaking News Window,Unscheduled headline cluster; treat as elevated uncertainty.
2025-11-12 14:00:00,Macro Release B,Scheduled; direction/impact unknown.
2025-11-12 15:00:00,Central Bank Speaker,Scheduled; direction/impact unknown.
2025-11-13 10:00:00,Macro Release A,Scheduled; direction/impact unknown.
2025-11-13 14:00:00,Macro Release B,Scheduled; direction/impact unknown.
2025-11-13 15:00:00,Central Bank Speaker,Scheduled; direction/impact unknown.
2025-11-14 10:00:00,Macro Release A,Scheduled; direction/impact unknown.
2025-11-14 14:00:00,Macro Release B,Scheduled; direction/impact unknown.
2025-11-14 15:00:00,Central Bank Speaker,Scheduled; direction/impact unknown.
